model,rank,feature,display_feature,group,mean_abs_shap
Baseline,1,logP,logP,PhysChem,0.14165941624905223
Baseline,2,"MW, g/mol","MW, g/mol",PhysChem,0.10372333687389095
Baseline,3,FP_414,FP_414,Fingerprints,0.04208646187587269
Baseline,4,FP_926,FP_926,Fingerprints,0.025836226474086326
Baseline,5,FP_695,FP_695,Fingerprints,0.022103641258385577
Baseline,6,7f8y,CCKAR,Proteins,0.020089249959807466
Baseline,7,FP_389,FP_389,Fingerprints,0.018431588538007217
Baseline,8,FP_715,FP_715,Fingerprints,0.018169095187572173
Baseline,9,FP_674,FP_674,Fingerprints,0.017662224419167604
Baseline,10,FP_1028,FP_1028,Fingerprints,0.015499391152164336
Baseline,11,FP_661,FP_661,Fingerprints,0.014893360786264333
Baseline,12,FP_628,FP_628,Fingerprints,0.014825535327177003
Baseline,13,FP_426,FP_426,Fingerprints,0.014128033200088977
Baseline,14,6kux,ADRA2A,Proteins,0.013438889113770081
Baseline,15,8fhs,CACNA1C,Proteins,0.013413244236207855
Baseline,16,FP_1917,FP_1917,Fingerprints,0.01298991739506951
Baseline,17,3b66,AR,Proteins,0.012716587410391871
Baseline,18,8wty,SLC6A2,Proteins,0.012686526927001505
Baseline,19,FP_1599,FP_1599,Fingerprints,0.012639969623389691
Baseline,20,9eo4,SLC6A3,Proteins,0.012380942153864776
Baseline,21,8yn3,HRH2,Proteins,0.012329736280344079
Baseline,22,FP_456,FP_456,Fingerprints,0.012274930061406415
Baseline,23,FP_947,FP_947,Fingerprints,0.011946291220308831
Baseline,24,3rze,HRH1,Proteins,0.011708675594284613
Baseline,25,8e9y,CHRM3,Proteins,0.01160947383413609
Baseline,26,FP_1737,FP_1737,Fingerprints,0.011374007187114888
Baseline,27,FP_1171,FP_1171,Fingerprints,0.01135335595890963
Baseline,28,5u09,CNR1,Proteins,0.01101878454423271
Baseline,29,8st0,CHRNA1/4,Proteins,0.010992664224576511
Baseline,30,FP_1226,FP_1226,Fingerprints,0.010675648732041972
PCA,1,"MW, g/mol","MW, g/mol",PhysChem,0.15236928735540442
PCA,2,logP,logP,PhysChem,0.13642365948510327
PCA,3,FP_628,FP_628,Fingerprints,0.0294674898288679
PCA,4,FP_926,FP_926,Fingerprints,0.025912264584586783
PCA,5,PC1,PC1,Proteins,0.02578887069461469
PCA,6,FP_414,FP_414,Fingerprints,0.024898066056441535
PCA,7,PC2,PC2,Proteins,0.02130636339092977
PCA,8,FP_715,FP_715,Fingerprints,0.020029767564485854
PCA,9,FP_389,FP_389,Fingerprints,0.019542520787775755
PCA,10,FP_1028,FP_1028,Fingerprints,0.018452343055518385
PCA,11,PC3,PC3,Proteins,0.017375319273913937
PCA,12,FP_1171,FP_1171,Fingerprints,0.015208704661949901
PCA,13,FP_650,FP_650,Fingerprints,0.014885244452206778
PCA,14,FP_1917,FP_1917,Fingerprints,0.014603939393735006
PCA,15,FP_695,FP_695,Fingerprints,0.01456699097675927
PCA,16,FP_426,FP_426,Fingerprints,0.013819332267718034
PCA,17,FP_674,FP_674,Fingerprints,0.013816280117862907
PCA,18,FP_947,FP_947,Fingerprints,0.013447531592051564
PCA,19,FP_80,FP_80,Fingerprints,0.012969225494300424
PCA,20,FP_935,FP_935,Fingerprints,0.012275163332811643
PCA,21,FP_456,FP_456,Fingerprints,0.011754246872380929
PCA,22,FP_1088,FP_1088,Fingerprints,0.011200788348931226
PCA,23,FP_1737,FP_1737,Fingerprints,0.010979582039598286
PCA,24,FP_656,FP_656,Fingerprints,0.010970287023942418
PCA,25,FP_378,FP_378,Fingerprints,0.010536626780129794
PCA,26,FP_1873,FP_1873,Fingerprints,0.010274383036561361
PCA,27,FP_402,FP_402,Fingerprints,0.009909334989683822
PCA,28,FP_1745,FP_1745,Fingerprints,0.009883515296549614
PCA,29,FP_1057,FP_1057,Fingerprints,0.00978784907356987
PCA,30,FP_1226,FP_1226,Fingerprints,0.009777496780531688
ADME,1,logP,logP,PhysChem,0.1025220702627333
ADME,2,fChar,fChar,ADME,0.07933641940501411
ADME,3,"MW, g/mol","MW, g/mol",PhysChem,0.06430772865000946
ADME,4,pka_basic,pka_basic,ADME,0.05790529343934944
ADME,5,Synth,Synth,ADME,0.04280302591987033
ADME,6,pka_acidic,pka_acidic,ADME,0.035386809126680206
ADME,7,Dense,Dense,ADME,0.034631473403923904
ADME,8,logP_admet,logP_admet,ADME,0.031149726982016412
ADME,9,CYP2D6-inh,CYP2D6-inh,ADME,0.02862209224478754
ADME,10,logVDss,logVDss,ADME,0.028110533220475936
ADME,11,QED,QED,ADME,0.027201693617442017
ADME,12,nRing,nRing,ADME,0.019531436341239813
ADME,13,GoldenTriangle,GoldenTriangle,ADME,0.016246893238833125
ADME,14,FP_1028,FP_1028,Fingerprints,0.0129742995547923
ADME,15,Vol,Vol,ADME,0.012083980697526435
ADME,16,CYP2C19-inh,CYP2C19-inh,ADME,0.01191593502358759
ADME,17,nHet,nHet,ADME,0.011434354603254386
ADME,18,pgp_sub,pgp_sub,ADME,0.011366440512703009
ADME,19,logS,logS,ADME,0.011345095486828626
ADME,20,TPSA,TPSA,ADME,0.011338109216333716
ADME,21,FP_628,FP_628,Fingerprints,0.011262895559698676
ADME,22,FP_674,FP_674,Fingerprints,0.00988730458558625
ADME,23,3b66,AR,Proteins,0.009266985101320463
ADME,24,FP_695,FP_695,Fingerprints,0.008360611464281435
ADME,25,4mqs,CHRM2,Proteins,0.008058812180160819
ADME,26,CYP2B6-sub,CYP2B6-sub,ADME,0.008002565598814789
ADME,27,FP_402,FP_402,Fingerprints,0.007857428931783825
ADME,28,nRot,nRot,ADME,0.007726520720363193
ADME,29,nHD,nHD,ADME,0.0075037662135299344
ADME,30,CYP2C19-sub,CYP2C19-sub,ADME,0.0071439764150284454
Plain,1,"MW, g/mol","MW, g/mol",PhysChem,0.1574441105802456
Plain,2,logP,logP,PhysChem,0.13017874543637417
Plain,3,FP_414,FP_414,Fingerprints,0.030638688110313828
Plain,4,FP_926,FP_926,Fingerprints,0.029368359935338886
Plain,5,FP_628,FP_628,Fingerprints,0.022581416912775522
Plain,6,FP_715,FP_715,Fingerprints,0.02080003436314214
Plain,7,FP_389,FP_389,Fingerprints,0.018174462338424312
Plain,8,FP_426,FP_426,Fingerprints,0.015693442459520358
Plain,9,FP_674,FP_674,Fingerprints,0.013909434394168809
Plain,10,FP_807,FP_807,Fingerprints,0.013475561430978129
Plain,11,FP_650,FP_650,Fingerprints,0.01327491444532297
Plain,12,FP_1750,FP_1750,Fingerprints,0.013233612907186266
Plain,13,FP_1737,FP_1737,Fingerprints,0.0128875539492938
Plain,14,FP_456,FP_456,Fingerprints,0.012051192577240076
Plain,15,FP_656,FP_656,Fingerprints,0.011748247705686363
Plain,16,FP_1171,FP_1171,Fingerprints,0.011583143855355298
Plain,17,FP_2005,FP_2005,Fingerprints,0.010914423213991395
Plain,18,FP_661,FP_661,Fingerprints,0.010844658409895862
Plain,19,FP_1917,FP_1917,Fingerprints,0.010427779498232951
Plain,20,FP_1599,FP_1599,Fingerprints,0.010333342762617034
Plain,21,FP_1145,FP_1145,Fingerprints,0.009794779098621576
Plain,22,FP_1226,FP_1226,Fingerprints,0.009272144940659284
Plain,23,FP_947,FP_947,Fingerprints,0.009140493080364806
Plain,24,FP_1057,FP_1057,Fingerprints,0.008919558765214464
Plain,25,FP_1970,FP_1970,Fingerprints,0.008895528162804384
Plain,26,FP_1745,FP_1745,Fingerprints,0.008881428904704098
Plain,27,FP_1911,FP_1911,Fingerprints,0.008819830785359903
Plain,28,FP_1028,FP_1028,Fingerprints,0.008306134140659234
Plain,29,FP_80,FP_80,Fingerprints,0.008115076047308354
Plain,30,FP_378,FP_378,Fingerprints,0.007984443188720918
BBB pass,1,logP,logP,PhysChem,0.11547067631685883
BBB pass,2,"MW, g/mol","MW, g/mol",PhysChem,0.08057290489177868
BBB pass,3,FP_926,FP_926,Fingerprints,0.03374008981744526
BBB pass,4,FP_628,FP_628,Fingerprints,0.03363929442517474
BBB pass,5,FP_1028,FP_1028,Fingerprints,0.03171442508922407
BBB pass,6,FP_414,FP_414,Fingerprints,0.02636860316330054
BBB pass,7,6lqa,SCN5A,Proteins,0.021757969175632844
BBB pass,8,FP_807,FP_807,Fingerprints,0.02119522850216478
BBB pass,9,FP_378,FP_378,Fingerprints,0.02050269505925926
BBB pass,10,FP_80,FP_80,Fingerprints,0.01935667163300987
BBB pass,11,3rze,HRH1,Proteins,0.018844570973491785
BBB pass,12,FP_674,FP_674,Fingerprints,0.018832876178099537
BBB pass,13,8wty,SLC6A2,Proteins,0.016663217676964055
BBB pass,14,FP_389,FP_389,Fingerprints,0.01614820386681643
BBB pass,15,FP_650,FP_650,Fingerprints,0.01460524747378284
BBB pass,16,FP_1145,FP_1145,Fingerprints,0.014049034301862197
BBB pass,17,6kux,ADRA2A,Proteins,0.013946156176610132
BBB pass,18,FP_426,FP_426,Fingerprints,0.013699093608946522
BBB pass,19,FP_881,FP_881,Fingerprints,0.013537405847242336
BBB pass,20,1xoq,PDE4D,Proteins,0.013421373969069535
